"행정구역","2025년04월_남_총인구수","2025년04월_남_연령구간인구수","2025년04월_남_0~9세","2025년04월_남_10~19세","2025년04월_남_20~29세","2025년04월_남_30~39세","2025년04월_남_40~49세","2025년04월_남_50~59세","2025년04월_남_60~69세","2025년04월_남_70~79세","2025년04월_남_80~89세","2025년04월_남_90~99세","2025년04월_남_100세 이상","2025년04월_여_총인구수","2025년04월_여_연령구간인구수","2025년04월_여_0~9세","2025년04월_여_10~19세","2025년04월_여_20~29세","2025년04월_여_30~39세","2025년04월_여_40~49세","2025년04월_여_50~59세","2025년04월_여_60~69세","2025년04월_여_70~79세","2025년04월_여_80~89세","2025년04월_여_90~99세","2025년04월_여_100세 이상"
"서울특별시  (1100000000)","4,501,804","4,501,804","243,454","368,965","607,685","724,541","679,734","729,727","625,887","359,746","147,325","14,398","342","4,830,056","4,830,056","231,445","353,672","686,122","723,394","696,047","753,451","695,131","437,810","214,233","37,594","1,157"
"서울특별시 종로구 (1111000000)","66,413","66,413","2,701","4,611","9,698","9,874","8,866","11,445","10,509","5,582","2,756","357","14","71,683","71,683","2,613","4,798","11,071","9,872","9,508","11,783","10,491","6,609","4,130","779","29"
"서울특별시 종로구 청운효자동(1111051500)","5,013","5,013","276","518","631","699","755","869","631","370","234","27","3","6,002","6,002","255","507","665","815","994","1,037","779","544","337","68","1"
"서울특별시 종로구 사직동(1111053000)","3,935","3,935","192","270","435","631","587","668","590","301","218","39","4","5,002","5,002","199","356","592","798","799","789","681","427","289","69","3"
"서울특별시 종로구 삼청동(1111054000)","1,039","1,039","38","90","118","123","148","152","177","123","60","10","0","1,131","1,131","42","63","109","154","150","176","191","136","88","22","0"
"서울특별시 종로구 부암동(1111055000)","4,233","4,233","181","419","520","588","599","721","630","362","190","23","0","4,791","4,791","173","351","508","620","726","886","755","448","258","63","3"
"서울특별시 종로구 평창동(1111056000)","7,997","7,997","490","738","926","972","1,062","1,376","1,341","699","335","55","3","9,212","9,212","424","770","958","1,065","1,334","1,700","1,492","822","505","133","9"
"서울특별시 종로구 무악동(1111057000)","3,588","3,588","220","378","357","391","565","720","519","274","143","21","0","4,229","4,229","269","508","440","419","663","691","607","358","238","34","2"
"서울특별시 종로구 교남동(1111058000)","4,361","4,361","324","358","490","624","764","797","521","319","150","14","0","5,152","5,152","337","394","563","771","882","843","650","444","230","38","0"
"서울특별시 종로구 가회동(1111060000)","1,740","1,740","89","150","167","245","263","316","260","159","80","11","0","1,992","1,992","57","142","195","263","313","346","291","209","148","26","2"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","4,037","4,037","78","108","458","615","493","722","876","472","191","22","2","2,654","2,654","65","112","475","420","323","339","410","286","190","33","1"
"서울특별시 종로구 종로5.6가동(1111063000)","2,759","2,759","71","80","462","539","325","453","469","227","120","13","0","2,516","2,516","65","104","597","438","240","343","340","227","140","22","0"
"서울특별시 종로구 이화동(1111064000)","3,267","3,267","71","167","669","618","394","487","454","259","133","15","0","3,762","3,762","82","160","910","618","397","506","491","342","215","41","0"
"서울특별시 종로구 혜화동(1111065000)","7,579","7,579","227","608","2,096","1,048","883","1,094","817","467","304","34","1","8,226","8,226","222","606","2,171","956","933","1,201","909","670","469","83","6"
"서울특별시 종로구 창신제1동(1111067000)","2,355","2,355","53","78","277","324","255","404","592","262","103","7","0","2,129","2,129","51","74","266","274","201","374","441","262","165","21","0"
"서울특별시 종로구 창신제2동(1111068000)","3,736","3,736","70","155","435","525","409","797","813","373","137","22","0","3,531","3,531","67","140","396","376","320","750","750","430","269","33","0"
"서울특별시 종로구 창신제3동(1111069000)","3,030","3,030","131","191","378","470","391","527","554","259","106","22","1","3,157","3,157","124","203","352","442","370","602","540","306","190","28","0"
"서울특별시 종로구 숭인제1동(1111070000)","2,765","2,765","81","164","332","410","393","523","492","260","103","7","0","2,962","2,962","83","162","368","391","376","530","515","305","192","38","2"
"서울특별시 종로구 숭인제2동(1111071000)","4,979","4,979","109","139","947","1,052","580","819","773","396","149","15","0","5,235","5,235","98","146","1,506","1,052","487","670","649","393","207","27","0"
"서울특별시 중구 (1114000000)","57,556","57,556","2,638","2,931","7,316","10,663","8,231","9,224","8,998","5,084","2,211","253","7","62,045","62,045","2,524","2,982","9,105","10,685","8,046","9,125","9,169","6,079","3,608","708","14"
"서울특별시 중구 소공동(1114052000)","1,000","1,000","73","50","67","196","258","164","106","55","28","3","0","1,166","1,166","64","95","136","239","277","153","107","59","31","5","0"
"서울특별시 중구 회현동(1114054000)","2,236","2,236","75","103","205","260","242","404","518","289","122","18","0","2,067","2,067","72","100","201","278","243","346","374","275","137","40","1"
"서울특별시 중구 명동(1114055000)","1,025","1,025","26","52","124","158","131","199","176","110","43","6","0","1,482","1,482","19","65","185","158","190","244","284","196","111","30","0"
"서울특별시 중구 필동(1114057000)","2,226","2,226","64","99","400","458","291","329","313","174","84","14","0","2,112","2,112","69","100","419","417","238","252","274","188","111","42","2"
"서울특별시 중구 장충동(1114058000)","2,377","2,377","68","130","680","390","241","312","274","179","90","12","1","2,200","2,200","42","165","576","258","229","288","267","209","141","25","0"
